fn,bbox
1.tif,"[[67, 110, 99, 142]]"
2.tif,"[[63, 150, 95, 182]]"
3.tif,"[[179, 47, 211, 79], [72, 135, 104, 167]]"
4.tif,"[[126, 76, 158, 108], [58, 200, 90, 232]]"
5.tif,"[[79, 65, 111, 97], [27, 93, 59, 125], [-14, 148, 18, 180]]"
6.tif,"[[47, 7, 79, 39], [6, 62, 38, 94]]"
7.tif,"[[182, 102, 214, 134], [141, 157, 173, 189], [59, 41, 91, 73], [-6, 77, 26, 109]]"
8.tif,"[[189, 4, 221, 36], [137, 32, 169, 64], [96, 88, 128, 120], [45, 148, 77, 180]]"
9.tif,"[[81, 34, 113, 66], [188, 189, 220, 221], [14, 157, 46, 189]]"
10.tif,"[[150, 101, 182, 133]]"
11.tif,"[[105, 92, 137, 124]]"
12.tif,"[[36, 179, 68, 211]]"
13.tif,"[[173, 45, 205, 77], [43, 72, 75, 104], [97, 208, 129, 240], [0, 149, 32, 181]]"
14.tif,"[[135, 112, 167, 144], [89, 151, 121, 183], [37, 54, 69, 86], [49, 199, 81, 231]]"
15.tif,"[[167, 112, 199, 144], [121, 150, 153, 182], [69, 53, 101, 85], [4, 3, 36, 35], [11, 116, 43, 148], [81, 198, 113, 230]]"
16.tif,"[[182, 66, 214, 98], [139, 144, 171, 176], [74, 94, 106, 126], [31, 156, 63, 188], [81, 206, 113, 238]]"
17.tif,"[[206, 174, 238, 206], [117, 20, 149, 52], [98, 201, 130, 233], [26, 76, 58, 108], [-9, 168, 23, 200]]"
18.tif,"[[183, 208, 215, 240], [86, 28, 118, 60], [27, 43, 59, 75]]"
19.tif,"[[155, 99, 187, 131], [112, 161, 144, 193], [47, 66, 79, 98], [35, 108, 67, 140]]"
20.tif,"[[173, -11, 205, 21], [182, 163, 214, 195], [130, 66, 162, 98], [65, 16, 97, 48], [23, 79, 55, 111], [73, 129, 105, 161], [5, 141, 37, 173]]"
21.tif,"[[143, 37, 175, 69], [198, 173, 230, 205], [101, 115, 133, 147], [36, 65, 68, 97], [-7, 127, 25, 159], [43, 177, 75, 209]]"
22.tif,"[[152, 23, 184, 55], [202, 73, 234, 105], [135, 85, 167, 117], [203, 181, 235, 213], [89, 141, 121, 173], [35, 118, 67, 150], [30, 175, 62, 207], [4, -14, 36, 18]]"
23.tif,"[[163, 76, 195, 108], [72, 132, 104, 164]]"
24.tif,"[[200, 170, 232, 202], [127, 45, 159, 77], [92, 137, 124, 169], [80, 180, 112, 212], [9, 196, 41, 228]]"
25.tif,"[[198, 60, 230, 92], [181, 122, 213, 154], [121, 7, 153, 39], [135, 178, 167, 210], [81, 155, 113, 187], [50, 23, 82, 55]]"
26.tif,"[[184, 43, 216, 75], [115, 69, 147, 101], [42, 145, 74, 177], [1, 28, 33, 60]]"
27.tif,"[[120, 14, 152, 46], [170, 64, 202, 96], [102, 77, 134, 109], [170, 173, 202, 205], [57, 132, 89, 164], [2, 110, 34, 142], [-2, 166, 30, 198]]"
28.tif,"[[72, 54, 104, 86], [122, 125, 154, 157], [129, 162, 161, 194], [15, 151, 47, 183]]"
29.tif,"[[189, 23, 221, 55], [184, 195, 216, 227], [144, 79, 176, 111], [89, 56, 121, 88], [84, 112, 116, 144]]"
