fn,bbox
1.tif,"[[54, 63, 86, 95]]"
2.tif,"[[85, 16, 117, 48]]"
3.tif,"[[85, 110, 117, 142]]"
4.tif,"[[29, 16, 61, 48], [137, 172, 169, 204], [85, 200, 117, 232]]"
5.tif,"[[157, 29, 189, 61], [105, 57, 137, 89], [64, 112, 96, 144], [13, 173, 45, 205]]"
6.tif,"[[113, 107, 145, 139], [61, 135, 93, 167], [20, 190, 52, 222]]"
7.tif,"[[109, -5, 141, 27], [57, 23, 89, 55], [16, 79, 48, 111]]"
8.tif,"[[65, -11, 97, 21], [14, 49, 46, 81]]"
9.tif,"[[104, 4, 136, 36], [159, 188, 191, 220], [36, 128, 68, 160]]"
10.tif,"[[195, 34, 227, 66], [154, 89, 186, 121], [103, 149, 135, 181], [7, 9, 39, 41]]"
11.tif,"[[148, 7, 180, 39], [17, 34, 49, 66], [72, 170, 104, 202], [27, 208, 59, 240]]"
12.tif,"[[155, 88, 187, 120], [32, 142, 64, 174], [96, 102, 128, 134]]"
13.tif,"[[150, 72, 182, 104], [205, 208, 237, 240], [107, 149, 139, 181], [42, 99, 74, 131], [0, 162, 32, 194]]"
14.tif,"[[110, 72, 142, 104], [64, 110, 96, 142], [12, 13, 44, 45], [24, 158, 56, 190]]"
15.tif,"[[58, 5, 90, 37], [113, 141, 145, 173], [67, 179, 99, 211], [15, 83, 47, 115]]"
16.tif,"[[178, 146, 210, 178], [126, 49, 158, 81], [61, -1, 93, 31], [18, 62, 50, 94], [68, 112, 100, 144], [0, 124, 32, 156], [137, 194, 169, 226]]"
17.tif,"[[170, 187, 202, 219], [81, 34, 113, 66], [145, -6, 177, 26], [-10, 90, 22, 122]]"
18.tif,"[[124, 84, 156, 116], [1, 138, 33, 170], [65, 99, 97, 131]]"
19.tif,"[[198, 0, 230, 32], [207, 174, 239, 206], [155, 77, 187, 109], [90, 27, 122, 59], [47, 89, 79, 121], [97, 139, 129, 171], [29, 152, 61, 184]]"
20.tif,"[[153, 18, 185, 50], [203, 68, 235, 100], [135, 80, 167, 112], [203, 177, 235, 209], [89, 136, 121, 168], [35, 114, 67, 146], [30, 170, 62, 202]]"
21.tif,"[[112, 7, 144, 39], [45, 19, 77, 51], [182, 89, 214, 121], [113, 115, 145, 147], [39, 191, 71, 223], [-1, 75, 31, 107]]"
22.tif,"[[145, 3, 177, 35], [195, 53, 227, 85], [128, 65, 160, 97], [196, 161, 228, 193], [82, 121, 114, 153], [28, 98, 60, 130], [23, 155, 55, 187]]"
23.tif,"[[136, 52, 168, 84], [200, 12, 232, 44], [45, 108, 77, 140], [10, 199, 42, 231]]"
24.tif,"[[153, 9, 185, 41], [135, 190, 167, 222], [62, 65, 94, 97], [27, 157, 59, 189], [15, 200, 47, 232]]"
25.tif,"[[181, 66, 213, 98], [163, 129, 195, 161], [103, 14, 135, 46], [118, 184, 150, 216], [63, 162, 95, 194], [32, 30, 64, 62]]"
26.tif,"[[167, 86, 199, 118], [121, 125, 153, 157], [69, 28, 101, 60], [11, 90, 43, 122], [81, 173, 113, 205], [12, 199, 44, 231]]"
27.tif,"[[206, 87, 238, 119], [154, -9, 186, 23], [46, 3, 78, 35], [96, 53, 128, 85], [28, 65, 60, 97], [165, 135, 197, 167], [97, 161, 129, 193]]"
28.tif,"[[148, 88, 180, 120], [198, 158, 230, 190], [205, 195, 237, 227], [49, 5, 81, 37], [91, 185, 123, 217], [15, 102, 47, 134]]"
29.tif,"[[206, 74, 238, 106], [132, 150, 164, 182], [92, 34, 124, 66], [37, 11, 69, 43], [33, 68, 65, 100], [-1, 165, 31, 197]]"
30.tif,"[[83, 164, 115, 196], [6, 185, 38, 217]]"
31.tif,"[[132, 46, 164, 78], [182, 117, 214, 149], [189, 154, 221, 186], [75, 143, 107, 175], [-1, 60, 31, 92]]"
32.tif,"[[99, -13, 131, 19], [26, 63, 58, 95], [183, 201, 215, 233], [76, 133, 108, 165], [83, 170, 115, 202]]"
33.tif,"[[133, 153, 165, 185], [26, 86, 58, 118], [33, 123, 65, 155], [56, 175, 88, 207]]"
34.tif,"[[199, -15, 231, 17], [194, 157, 226, 189], [153, 41, 185, 73], [99, 18, 131, 50], [94, 75, 126, 107], [61, 172, 93, 204], [-6, 94, 26, 126]]"
35.tif,"[[177, 53, 209, 85], [173, 110, 205, 142], [139, 207, 171, 239], [30, 188, 62, 220], [72, 130, 104, 162]]"
36.tif,"[[201, -2, 233, 30], [208, 35, 240, 67], [94, 25, 126, 57], [192, 177, 224, 209], [106, 181, 138, 213]]"
37.tif,"[[94, 42, 126, 74], [-6, 11, 26, 43], [18, 63, 50, 95], [150, 119, 182, 151], [172, 175, 204, 207], [50, 142, 82, 174], [-4, 186, 28, 218], [71, 168, 103, 200]]"
38.tif,"[[2, -11, 34, 21], [135, 44, 167, 76], [157, 101, 189, 133], [35, 67, 67, 99], [56, 94, 88, 126], [13, 158, 45, 190], [107, 137, 139, 169], [128, 196, 160, 228]]"
39.tif,"[[167, -9, 199, 23], [190, 43, 222, 75], [150, 132, 182, 164], [168, 166, 200, 198], [65, 137, 97, 169]]"
40.tif,"[[147, 4, 179, 36], [107, 94, 139, 126], [179, 83, 211, 115], [125, 128, 157, 160], [200, 110, 232, 142], [158, 173, 190, 205], [25, 201, 57, 233], [22, 98, 54, 130]]"
41.tif,"[[63, 25, 95, 57], [135, 14, 167, 46], [81, 58, 113, 90], [156, 40, 188, 72], [113, 104, 145, 136], [207, 83, 239, 115], [145, 165, 177, 197], [43, 194, 75, 226]]"
42.tif,"[[131, -15, 163, 17], [91, 74, 123, 106], [163, 63, 195, 95], [109, 108, 141, 140], [184, 90, 216, 122], [142, 153, 174, 185], [9, 181, 41, 213], [6, 78, 38, 110]]"
